id,Kichwa,Español
803,KILLPAK KUSHMA, Sweater- saco 
804,Killu, Amarillo 
805,Killu sara, Maíz amarillo 
806,Kimi killka, Coeficiente o parte literal 
807,Kimi yupay, Coeficiente numérico 
808,Kimina, Acercar 
809,Kiminancha, Coeficiente 
810,Kimirik, Contigüos. 
811,Kimirik kuchukuna, Ángulos contiguos o adiacentes 
812,Kimirishka yuyay, Oración subordinada 
813,Kimiriy, Acercarse 
814,Kimpu / kashtuna, Mandíbula- quijada 
815,Kimraymaya, Hipotenusa 
816,KIMSA, tres- 3 
817,KIMSA CHUNKA, treinta- 30 
818,Kimsa kilkanancha kutinchiy, Factorización de trinomios 
819,KIMSA PATSAK, trecientos- 300 
820,Kimsachishka kullka, Prisma triangular 
821,Kimsachishkapa tawa, Trinomio cuadrado perfecto 
822,Kimsakamachik, Regla de tres 
823,Kimsakamachimuk, Regla de tres inversa 
824,Kimsakamachiyak, Regla de tres simple 
825,Kimsakilkanancha kutinchiy, Factorización de trinomios 
826,Kimsamanyachi, Triángulo 
827,Kimsamanyachikamay, Trigonometría 
828,Kimsamanyapurachi, Relaciones trigonométricas 
829,Kimsaniki kallariy yachay, Tercer nivel de Ed. Básica. 
830,Kimsaniki kallariyachay, Tercer Nivel 
831,Kimsapaktamanyachi, Triángulo equilátero 
832,Kincha, corral 
833,Kinchak, Corchetes. 
834,kinku, Curva 
835,kinkuk, Paréntesis. 
836,Kinraymanya, Hipotenusa 
837,Kinrayshuyu, Función 
838,Kinti, Picaflor 
839,Kinuwa, Quinoa 
840,Kipapakchiruray, Proyecto 
841,Kipapakchiruray yachay, Proyecto de aula 
842,KIPILLI, Paquete 
843,Kiri, Llaga 
844,Kirkinchu / kachikampu, Armadillo 
845,Kiru, Árbol 
846,Kishparik, Independencia 
847,Kishpichina, perdonar 
848,Kishpiripacha, Liberalismo 
849,Kishuar, Quishuar 
850,Kita, Brioso 
851,Kiti, Cantón 
852,Kiti apuk, Jefe Político 
853,Kiti kamaklli, Concejal 
854,Kiti kapachik apuk, Comisario Nacional 
855,Kitikapak, Capital provincial 
856,Kitilli, Parroquia 
857,Kitilli apuk, Teniente Político 
858,Kucha, Lago 
859,Kuchaku, Laguna 
860,Kuchawpi, Bicectriz 
861,Kuchi, Cerdo 
862,Kuchulla, Cerca 
863,Kuchupatay, Grado angular 
864,Kuku- pukchi, Libra 
865,kukulli, Paloma 
866,Kulla, Enero 
867,KULLA killa, Enero 
868,Kullasuyu, Región Sur 
869,Kullka, Prisma 
870,KULLKA puncha, Jueves 
871,Kullkikamak wankuri, Asociación bancaria 
872,Kullkikamak wankuriy, Asociación bancaria 
873,Kullkikamak wasi, Banco- mutua- copo- corporación- financiera 
874,Kullkikamay, Economía 
875,Kullkikamay kamu, Libro contable 
876,Kullkikamay shinayachi, Conmutabilidad bancaria 
877,Kullkikamaychik, Sistema contable 
878,Kullkikikinchik, Póliza 
879,KULLKILLI, Billetes de denominacion baja- pequeños 
880,Kullkimantawankuri, Organización económica 
881,Kullkimashnayachik, Presupuesto 
882,Kullkiminkay kamu, Libro banco 
883,KULLKIPATSAKRI, Impuesto 
884,Kullkirayku hatun tantanakuy, Grandes bloques económico 
885,Kullkirayku llankay, Actividad Económica 
886,Kullkiyuk, Capitalista 
887,Kullku, Tronco 
888,Kulta, Pato 
889,Kumuriy, Inclinarse 
890,Kuna, Dar 
891,Kunakuy, Ofrecer 
892,Kunakyuyayku, Refrán 
893,Kunan, Presente 
894,Kunan pacha, Tiempo presente 
895,Kunan yallishka, Participio 
896,Kunana, Consejo 
897,Kunanyallishka, Participio. 
898,Kunka, Garganta- cuello 
899,Kunka tullu, Nuca 
900,Kunkaklla, Olvidadiso 
901,Kunkallina, Bufanda 
902,Kunkariy, Olvidarse 
903,Kunkashka, olvidado 
904,Kunkay, Olvidar 
905,Kunkaycha, Negligencia- descuido 
906,Kunkaychashka, Descuidado- negligente 
907,Kunkaychay, Descuidar 
908,Kunkaychiy, Omisión- omitir 
909,Kunkaylla, tranquilo- en reposo 
910,Kunkuri, Rodilla 
911,Kunkuriy, arrodillarse 
912,Kuntisuyu, Occidente 
913,Kuntur, Condor 
914,Kunuk, Caliente 
915,Kunuk allpa, Costa 
916,Kunuk yaku, Agua termal 
917,Kunukuy- Killuchakay, Carbohidrato 
918,Kupa, rastrojo 
919,Kupa- ñuku, Basura 
920,Kurikinka, Curiquingue 
921,Kurpa, Masa amasado 
922,Kurpa (chanpa), Terrón 
923,Kurpa- Putuk, Enano 
924,Kurpañutuchi, Desterronamiento 
925,Kuru, Gusano 
926,KURUN ANTA, Motocicleta- moto 
927,Kururuna, Ovillar 
928,Kuruta, Testículo 
929,Kusa, Esposo- marido 
930,Kusana, Asar 
931,Kushi, Alegre 
932,Kushikuy, Emoción 
933,Kushillu, Mono 
934,Kushipatak, Sacerdote 
935,kushiyay, alegria 
936,Kushkapaktay, Puntualidad 
937,Kushma, Camisa 
938,Kushpana, Saltar 
939,Kushpana- Pawana, Saltar 
940,Kuska, Parte- sitio- lugar- dirección 
941,Kuska imallichik, Adverbio del lugar 
942,Kuskallpayku, Subterráneo 
943,Kuskayupay chani, Valor relativo 
944,Kuski, Septiembre- Frondoso- abundancia 
945,KUSKI killa, Septiembre 
946,Kuskina- Hamutayana, Analizar 
947,Kuskunku, Buho 
948,Kutachik, Molinero 
949,Kutana, molino 
950,Kuticharina, Rescatar 
951,Kutichina, Responder 
952,Kutichiy, Responder 
953,Kutin, Vez veces 
954,Kutinchi, Múltiplo. 
955,Kutinchichiy, Factorización 
956,Kutinchik millka, Tabla de frecuencias 
957,Kutinchiklla, Frecuencia absoluta 
958,Kutinchina, Repetir. 
959,Kutinchina(W), Repetir 
960,Kutinchishka yupaykuna, Números múltiplos 
961,Kutinchiy, Multiplicación 
962,Kutinkutinchik, Exponente 
963,Kutinkutinchiy, Potenciación 
964,Kutinkutinmuchiy, Radicación 
965,Kutinkutirik, Base de potencia  
966,Kutinriksina, Reconocer 
967,Kutirichiy, Convertirse 
968,Kutirik, Factor común 
969,Kutirik taripay, Búsqueda del factor común 
970,Kutsana, Rasgar. 
971,Kutsi, Ligero 
972,Kutsiy, Agilidad 
973,Kuwartilla - Ukapa, Cuartilla  +/- 60 lb. 
974,Kuy, Cuy / conejillo de indias 
975,Kuya, Reina- emperatriz- soberana del incario. Señora- dama 
976,Kuyak, Acariciador 
977,Kuyana-, amar 
978,Kuyashka, Amante 
979,Kuyaylla, hermosa- linda 
980,Kuyka, Lombríz 
981,Kuykakamay, Lombricultura 
982,Kuyllur, Asterisco. 
983,Kuytsa, Joven- adolescente mujer 
984,Kuyurihillanta, Máquina 
985,Kuyuy, mover 
986,Lachuri, Hijastro 
987,Ladera, Shayak allpa 
988,Lamama, Madrastra 
989,Lancha, Tizón 
990,Lapani, Hermanastra 
991,Laushi, Hijastra 
992,Lawawki, Hermanastro 
993,Layaya / latayta, Padrastro 
994,Llachak, Vegetal 
995,Llachakamay, Flora 
996,Llachapashka, Remendado 
997,Llachapay, Remendar 
998,Llachapayuk, Remendon 
999,Llaki, Triste 
1000,llaki, tristeza 
1001,Llakichik, Perjuicios 
1002,Llakichik wallpariykuna, Formas de Explotación 
1003,Llakichipacha, La Colonia 
1004,Llakichiy, Explotación 
1005,Llakilla, Triste 
1006,Llakitukuy, Desastre 
1007,Llakta, Pueblo 
1008,Llakta ushay, Democracia 
1009,Llaktakay, Pueblos 
1010,Llaktamanta llukshiri, Migración 
1011,llaktapak ushay, Democracia 
1012,Llaktari allpa, Territorio 
1013,Llaktarimay, Dialecto 
1014,Llaktay, Pueblo. 
1015,Llaktayku, Población 
1016,Llaktushay, Democracia 
1017,Llakushi, Sentimiento 
1018,llama, Llama- oveja 
1019,Llamkaypaktachi, Función rol 
1020,Llamkaywillay, informe 
1021,Llamkayñan, Planificación 
1022,Llampu, Liso 
1023,Llankahillay, Equipos 
1024,Llankamana, inutil 
1025,Llankanauku, Oficina 
1026,Llankanaukuk, Oficinista 
1027,Llankayñan, Planificación 
1028,Llano- campo, Pampa 
1029,Llantu, Sombra 
1030,Llanturiy, Eclipse 
1031,Llapiriy, Presión 
1032,Llashachik, Balanza 
1033,Llashak, Masa y peso 
1034,Llashak tupu, Medida de masa 
1035,Llatanay, Descubrirse- sacarse la ropa 
1036,Llawsayachik, Endòcrino 
1037,Llawsayari, Viscosidad 
1038,Llawtu, Corona- diadema 
1039,Llichayuk, Dichoso 
1040,Llika, Sistema 
1041,Llika yachay wasikuna, Redes Educativas 
1042,Llika- wallpa, Estructura 
1043,Lliwitupu, Radianes 
1044,Lluki, Izquierdo 
1045,Lluki maki, Mano izquierda 
1046,Llullana, Mentir 
1047,llullu, tierno 
1048,Llumpak, Limpio 
1049,Llumpakay, Virginidad 
1050,Llumpakshunku, Castidad 
1051,Llushpichiy, Despegar 
1052,Llutachina, Pegar. 
1053,Llutariy, Magnetismo 
1054,Loma, Tula 
1055,lulun, huevo 
1056,Lumu, Yuca 
1057,Lutsay, Proporción- proporcionalidad 
1058,Lutsaychishpa raki, Reparto proporcional 
1059,Lutsaykumuk, Proporción armónica o inversa 
1060,Lutsaykutinchik, Frecuencia relativa 
1061,Lutsaykuyak, Proporcionalidad inversa 
1062,Lutsaysapayak, Proporcionalidad directa 
1063,Machana, Emborrachar 
1064,Machu, Tuerto 
1065,Makana, Pegar 
1066,Makanakuy, Guerra 
1067,Makanakuy runakuna, Guerreros 
1068,Makay, golpe- pegar- agravio 
1069,maki, mano 
1070,Maki hawa, Palma de la mano 
1071,Maki ruka, Uña del dedo de la mano 
1072,Maki washa, Dorso de la mano 
1073,Maki-watana, Manilla- pulsera 
1074,Makillina, Guante 
1075,Makimañachi, Colaboración mutua 
1076,Makimañachiy, Prestación de mano para el trabajo 
1077,Makimañashpa, una mano de ayuda 
1078,Makimañay, Pedir la mano para casarse 
1079,Makipakchiruray, Artesanía 
1080,Makirumpay, Voleibol 
1081,Makirurashka, Manualidad 
1082,Makiruray, Artesanía 
1083,Makiruraykamay, Artesanía 
1084,Makiyasiy, Voleibol 
1085,Maklluy, Peligro 
1086,Maklluy (GT), Peligro 
1087,Mallina, Probar- saborear 
1088,Mama, Madre- mamá 
1089,Mama chanka, Muslo 
1090,Mama chumpi, Faja-madre 
1091,Mama kullki kamachi, Regla de interés 
1092,Mamakamachik, Constitución 
1093,Mamakucha, Océano 
1094,Mamakullki, Capital 
1095,Mamallakta, País 
1096,Mamallakta kallaripa tantanakuy, Asamblea Constituyente 
1097,Mamallakta kawsay kallari, Vida Republicana 
1098,Mamallakta Michari, Defensa Nacional. 
1099,Mamallakta pura kapak kamay, Política Exterior 
1100,Mamallaktachiy, Estado 
1101,Mamallaktapa apukwasi, Palacio de Gobierno 
1102,Mamallaktapa haylli, Himno Nacional 
1103,Mamallaktapa kapak, Nacionalista 
1104,Mamallaktapak tantanakuy, Estado 
1105,Mamallaktapura kullkikulka, Fondo Monetario Internacional FMI 
1106,Mamayakunta mintalay, Comercio Marítimo 
1107,Mana alli, Mal- malo 
1108,Mana rikshka antakuna, Los Ovnis 
1109,Mana riksishka, Extraño 
1110,Mana tukurik, Infinito 
1111,Manahaykapash, Nunca jamas 
1112,Manapakiyak yupay, Número irracional 
1113,Manapipash, nadie- ninguno 
1114,Manarak Turuwan makiruray pacha, Período Precerámico 
1115,Manashuwak, Honrado 
1116,Manañakcharishka, Despinado 
1117,Manchay, temer 
1118,Manllariy, Asustarse 
1119,Manllay, Temer- tener miedo 
1120,Manuchaskiy, Cobrar 
1121,Manya, Borde- lado 
1122,Manyaku, Cateto 
1123,Manyakupurachi, Tangente 
1124,Manyakupuramuchi, Cotangente 
1125,Manyakupuramunchi, Cotangente 
1126,Manyapikakkuna, Extremos 
1127,Manyatupu, Perímetro 
1128,Manña, Borde- orilla 
1129,Mapayashka, Obseno 
1130,Mapayay, Pornografía 
1131,Marka kamachik, Prefecto 
1132,Markakamachiklli, Consejero provincial 
1133,Markapuk, Gobernador 
1134,Masha, Yerno- cuñado 
1135,Mashi, Amigo 
1136,Mashipurari, Relación mutuo 
1137,Mashkaychani, Incógnita 
1138,Mashnayachi, Conocimiento de cantidad o cálculo 
1139,Mashnayachina, Calcular 
1140,Mashnaykuna, Cantidad  
1141,Mashu- chimpilaku, Murciélago 
1142,Mashuwa, Mashua 
1143,maskana, buscar 
1144,Maskaypacha, corona 
1145,MASMA YACHAK, Ingeniero 
1146,Masmana, Construir 
1147,Masmay, Armar 
1148,Mawkana, Usar 
1149,May kutinchikuna, Productos notables 
1150,May mutsuri, Importantes 
1151,May rakikuna, Cocientes notables 
1152,Mayalli, Indispensable 
1153,Maychani- raymana, Importancia 
1154,Mayhatun, Macro 
1155,Maykanpash, Cualquiera 
1156,Maykutinchikuna, Productos notables 
1157,Maymachariy, Alcoholismo 
1158,Maymutsurik, Importante 
1159,Maymutsuriy- Maychaniy, Importancia 
1160,Maypakchiruray, Arte 
1161,Mayrakikuna, Cocientes notables 
1162,Mayu, Río 
1163,Mayuchilla, Micro 
1164,Maywa, Morado- violeta 
1165,Maywana, enamorar 
1166,Maywana- Munayana, Enamorar 
1167,Mañana, Pedir 
1168,Mañay, Solicitud 
1169,Mi si, Gato 
1170,Michachikanyay, Descomposición de la energía 
1171,Michina, Pastar 
1172,Mika- mati, Plato de madera 
1173,Miklla, Treinta libras 
1174,Mikuna, Comer 
1175,Mikuy- mikuna, Alimento 
1176,Milchina, Manipular 
1177,Milchina- llanwana, Palpar 
1178,Milchinay, Experimentar 
1179,Milka, Párrafo- cuadro 
1180,Milkachishka, killka Cuadro sinóptico. 
1181,Milkachishka killka(W), Cuadro sinóptico 
1182,Milkakinrayshuyu, Histograma 
1183,Millanayay, Feo 
1184,Millaymakay, 
1185,Millkashuyu, Gráfico de barras 
1186,Milluku, Melloco 
1187,Minchakama, Despedida Próxima ocasión 
1188,Minchayana, Despedirse. 
1189,Minchayana (W), Despedirse 
1190,Minkana, Encargar 
1191,Minkarik, Huesped 
1192,Mintala, comerciante 
1193,Mintalana, Comercializar 
1194,Mintalanayay, Comercializaciòn 
1195,Mintalay, Comercio 
1196,Mintu, Pirámide 
1197,Mirachina, Aumentar 
1198,Mirachina (W), Reproducir 
1199,Mirana, Aumentar- producir- 
1200,Mirka, Paño- mancha de la cara 
1201,Mishanakuy, Competencia 
1202,Mishay, Ganr- competir 
1203,Mishki, Dulce 
1204,Mishu, mestizo 
1205,Mishuma uchu, Ají menos picante 
1206,Mitsa, Verruga 
1207,Mitsak, Mezquino 
1208,Mitsana, Mezquinar 
1209,Miyuchina- Mapayachina, Contaminar 
1210,Miyuwayra, Anhídrido Carbónico 
1211,Miyuy, Contaminación 
1212,Miyuy wanu, Fertilizante Químico 
1213,Miyuychi, Contaminaciòn 
1214,Montaña- cerro, Urku 
1215,Monte- bosque- selva, Sacha 
1216,Muchana, Besar 
1217,Muchiku, Sombrero 
1218,Muksi, Oxido 
1219,Muku, nudo 
1220,Muku, Articulación 
1221,Munana, Querer 
1222,Munanayay, Deseo carnal 
1223,Munapayay, Desear con locura 
1224,Munarishka, Aficionado 
1225,Munay, deseo 
1226,Munay killka, Escritura de expresión libre 
1227,Munay yachay, Auto estudio. 
1228,MUNAYMANTA RURAY, Hobby- pasa tiempo 
1229,Muntira, Gorra 
1230,Murtiñu, Mortiños 
1231,Muru unkuy, Sarampión 
1232,Muru- añawi, Fruto 
1233,Muruchu, Morocho 
1234,MURUKUNA, PRODUCTOS AGRÍCOLAS- granos 
1235,Mushuk, Nuevo 
1236,Mushukpacha, Neolítico 
1237,Mushukyachinalla, Renovable 
1238,Muskuna, Soñar 
1239,Musparina, Desvariar 
1240,Musyana, preveer 
1241,Musyana- kipakrikuna, Prever 
1242,Musyay, Prevención- temer- tener miedo 
1243,Mutilon, Motilones 
1244,Mutsukmanta, Necesariamente 
1245,Mutsuna, Necesitar 
1246,Mutsuri killkanancha kutinchi, Productos notables 
1247,Mutsurik, Útil 
1248,Mutsushka, Necesitado- menesteroso 
1249,Mutsuy, Uso 
1250,Mutsuy, Necesitar 
1251,Mutsuypa, Utilidad 
1252,Muyu, Semilla 
1253,Muyuna, Rodear 
1254,Muyuntin, Alrededor 
1255,Muyuntintupu, Medida del círculo 
1256,Muyuriy, Giro 
1257,Muyuy Rimay, Mesa redonda 
1258,Muyuy tupu, Perímetro de la circunferencia 
1259,Muyuykuchu, Ángulo de giro 
1260,Muyuypacha, Ciclo 
1261,Muyuyrimay, Mesa redonda. 
1262,Muyuyshuyu, Gráfico de pasteles 
1263,Muyuytupu, Longitud de la circunferencia 
1264,Nanay, Dolor 
1265,Nankay, Equilibrio 
1266,Napaykuna, Saludos 
1267,Niki, Orden 
1268,NIKICHIK, Ordenador- computadora- pc 
1269,Nikichina, Ordenar- Organizar 
1270,Nikirakiri, Fase 
1271,Nikiyupay, Números ordinales 
1272,Nikiyupaykuna, Números ordinales 
1273,Nikyachay, Teorema 
1274,Nimaykan, ninguna 
1275,Nina, Fuegollama- candela 
1276,Nina kuru, Luciérnaga 
1277,Ninayay- rupariy, Combustión 
1278,Nipa, Elemento 
1279,Nipakutichi, Intersección. 
1280,Nipapurachi, Correspondencia- relación 
1281,Nipayay, Componente 
1282,Nishani, Autodeterminación 
1283,Nuna, Espíritu- alma 
1284,Pacha, Tiempo y espacio 
1285,Pacha imallichik, Adverbio de tiempo 
1286,Pacha shuktayay, Fenómeno natural 
1287,Pacha tupuk, Reloj 
1288,Pachachik, Reloj 
1289,Pachachik- sayllachik, Reloj 
1290,Pachakutik pacha, Renacimiento 
1291,Pachamama, Mundo 
1292,Pachamamapi tiyak, Recurso natural 
1293,Pachamamapi tiyakkuna, Recursos naturales 
1294,Pachanyachiy, Fomento 
1295,Pachapi tiyak chimpaykuna, Teoría de la relatividad. 
1296,Pacharikuy, Cosmovisión.  
1297,Pacharikuy(W), Cosmovisión 
1298,Pachatupu, Medida de tiempo 
1299,Pachaykamay, Física 
1300,Pakana, Esconder 
1301,Pakarikuy, Velar 
1302,Pakarina, Amanecer 
1303,Pakashka, escondido 
1304,Pakay, Huabo 
1305,Pakcha, cascada 
1306,Pakchi, Técnica 
1307,Pakchiruray, Tecnología 
1308,Pakchirurayachay, Taller 
1309,Pakiriklla, Frágil 
1310,Pakiy, Romper en pedazos- destrozar 
1311,Pakiyupay, Número racional 
1312,Pakpayu, Aves 
1313,Paktachani, Ecuación o Igualdad de valores 
1314,Paktachay, justicia 
1315,Paktachichin, Responsabilizar. 
1316,Paktachichina, Responsabilizar 
1317,Paktachik, Responsable 
1318,Paktachik kuchu, Ángulo complementario 
1319,Paktachik tantachishka, Conjunto complementario 
1320,Paktachikkuna, Propiedades o relaciones 
1321,Paktachikuna, Propiedades 
1322,Paktachiriy, Asumir responsabilidad 
1323,Paktachiy, Responsabilidad 
1324,Paktak, Suficiente 
1325,Paktakamu, Libro mayor 
1326,Paktakuchu, Ángulo recto 
1327,Paktakuchu kimsamanyachi, Triángulo rectángulo 
1328,Paktakuyuy- waskariklla, Ritmo 
1329,Paktalla kawsay, Equidad de género 
1330,Paktama, Jeme 
1331,Paktamanya, Cateto menor 
1332,Paktanancha, Resultado 
1333,Paktapuchu, Diferencia simétrica 
1334,Paktara, Cuidado 
1335,Paktaraki, Divisibilidad. 
1336,Paktarakikyuk pakiyupaykuna, Fracciones homogéneas 
1337,Paktarakikyupay, Máximo común divisor 
1338,Paktarakirikyupay, Mínimo común múltiplo 
1339,Paktay, Objetivo 
1340,Paktayachay, Currículo 
1341,Paktayashka, Equivalente 
1342,Paktayuyay, Definición 
1343,Paku, Café 
1344,Pal anta, Plátano 
1345,Palama- itha- Añallu, Insecto 
1346,Palamamiyu, Insecticida 
1347,Pallana, Cosechar 
1348,Pallay, Cosechar 
1349,Palta, Aguacate 
1350,Paltarikkuska, Barra 
1351,Pamaway, Cosmos 
1352,Pamaway nipa, Elemento Cósmico 
1353,Pamawayak, Cósmico 
1354,Pamawyri, cósmico 
1355,Pampa, Planicie 
1356,Pampa shuyukuna, Figuras planas 
1357,Pampallpa, Llanura 
1358,Pampawarmi, Prostituta 
1359,Panchi, Febrero 
1360,PANCHI killa, Febrero 
1361,Pani, Hermana hermano a hermana 
1362,Pankakullki, Billetes 
1363,PANKALLI, Documento de identificacion- documento pequeño 
1364,Panta, confuso 
1365,Pantano- ciénega, Wampu allpa 
1366,Pantay, confusion 
1367,Papa, Patata 
1368,Papaya, Papaya 
1369,PARANA, demorar- durar en Imbabura 
1370,Parkuna, Regar 
1371,Paruk, Pulmón 
1372,Pascal kutinkutinchi, Esquema de Paskal 
1373,Paskakuchu, Ángulo obtuso 
1374,Paskakuchu kimsamanyaychi, Triángulo obtusángulo 
1375,Paskama, Cuarta 
1376,Paskama-ukapa, Cuarta de mano 
1377,Paskana, Abrir 
1378,Paskarikra, Braza longitud 
1379,Paskay, Abrir 
1380,Pasña, Adolescente mujer 
1381,Pata millma, Vello púvico 
1382,Pata tullu, Hueso púvico 
1383,Patarina, Doblar. 
1384,Patay, Grado sexagecimal 
1385,Patayak:, Tramo 
1386,Patayay, Tramo 
1387,Patayayku, Intervalo- recorrido- rango 
1388,Patayku, Minutos angulares 
1389,Pataykulla, Segundos angulares 
1390,Patpa, pluma 
1391,Patpay, Emplumar 
1392,PATSAK, cien- 100 
1393,Patsak piti, Tanto por ciento 
1394,Patsakri, Porcentaje 
1395,Patsakri shutichi, Notación porcentual 
1396,Patsakri shutichiy, Notación porcentual 
1397,Patsakrikrapampa, Cuadra 
1398,Patsaktatkipampa, Hectárea 
1399,Patsakwata, Siglo 
1400,Pawana, Volar 
1401,pawkar, marzo 
1402,Pawkar, Marzo 
1403,PAWKAR killa, Marzo 
1404,Pay, Ella 
1405,Paya, Vieja 
1406,Paya mama, Anciana 
1407,Paya ruka, Dedo pulgar 
1408,Payku, Payco 
1409,Paykuna, Ellas 
1410,Payllashka, pagado 
1411,Payllay, Pagar 
1412,Paypachik, Pertenencia 
1413,Paypaknay, Pertencer 
1414,Peña, Haka 
1415,Phacha, Sábana 
1416,Phallkala, Sien 
1417,Phanka, Hoja 
1418,Phankalla, Liviano 
1419,Phatsayana, Separar 
1420,Phawachik anku, Nervio 
1421,Phintu, Manta- trapo 
1422,Phintu ushuta, Medias 
1423,Pichay, Limpia 
1424,Pichay- chuyay- mayllay, Limpieza- aseo 
1425,PICHKA, cinco- 5 
1426,PICHKA CHUNKA, cincuenta- 50 
1427,PICHKA PATSAK, quinientos- 500 
1428,Piki, Pulga 
1429,Pillis, Piojo del cuerpo 
1430,Pillpintu, Mariposa 
1431,Pimill, Alga acuática 
1432,Pinkay, Vergüenza 
1433,Pinkullu, Tobillo 
1434,Pinllu, Lechero 
1435,Piruri, Rol 
1436,Piruru, Disco 
1437,Pirway, Diagramación 
1438,Pirwayay, Maqueta 
1439,Pirámide natural-, Kutama 
1440,Pishiyak pakiyupay, Fracción propia 
1441,Pishiyashka, Menor que 
1442,Pishku, Pájaro- ave 
1443,Pishku- Patpayuk, Ave 
1444,Piti, poco 
1445,Pitikuska, Segmento 
1446,Pitina- kuchuna, Cortar 
1447,Pituy, Deseo amoroso 
1448,Pityuk- Chuskulli pukcha, Arroba 
1449,piñakuy, enfadado 
1450,piñana, enfadarse 
1451,Piñashka, Enojado 
1452,Plumaje, Patpasapa 
1453,Policia, Chapak 
1454,Puchu, Diferencia 
1455,Puchu tupati, Cabo de vela 
1456,Puchuy, extraño 
1457,Puka, Rojo 
1458,Puka sara, Maíz rojo 
1459,Pukara, Lugares sagrados – centros ceremoniales 
1460,Pukcha, Quintal 
1461,Pukchiku, Onza 
1462,Pukllana, Jugar 
1463,Pukllay, Deporte 
1464,Pukpu, Litro- botella 
1465,Pukshay akllay kamachik, Tribunal Electoral 
1466,Puku, Plato 
1467,Pukuk, Soplador 
1468,Pukukuk, Productivo 
1469,Pukukun, Fecundo- fertil 
1470,Pukuna, Cerbatana 
1471,Pukushka, encantado 
1472,Pukuy, Producción 
1473,Pukuyay, Madurez 
1474,Pukyu, Vertiente 
1475,Pullkanka, Escudo 
1476,Pullkankayuk, Escudero 
1477,Puma, Puma 
1478,Puma-maki, Pumamaqui 
1479,Punasuyu, Región Sierra 
1480,puncha, día 
1481,Punchaklla, Claro 
1482,Punchankamu, Libro diario 
1483,Punchanta kawsay, Vida cotidiana 
1484,Punchayakun, alba 
1485,Puntu, Vasija 
1486,Pupu, Ombligo 
1487,Puray, Relación 
1488,Purichihallmay, Segunda desyerbe 
1489,Purik, Caminante 
1490,Purikacha, Paseo 
1491,Purina, Caminar 
1492,Purun, Llanura abandonada 
1493,Purun wiwa, Animal silvestre 
1494,Purutu, Fréjol 
1495,PUSAK, ocho- 8 
1496,PUSAK CHUNKA, ochenta- 80 
1497,PUSAK PATSAK, ochocientos- 800 
1498,Pusakkamay, Dirección 
1499,Pushak, Lider 
1500,Pushakakllay, Tribunal 
1501,Pusku- hatki, Ácido 
1502,Pusku- putuku, Espuma 
1503,Putiha, Unidad fundamental de la fanega 
1504,Putika, Botija 12-5 lib 
1505,Putitupu, Medida de volumen 
1506,Putu, Galón 
1507,Putuk, Trapecio 
1508,Putukuk, Trapezoide 
1509,Puyuy, Evaporación 
1510,Puzun, Estómago 
1511,Puñuna, Dormir 
1512,Puñuyllak, Insomnio 
1513,Raka, Vagina 
1514,? rakacha, Zanahoria 
1515,Rakacha, Zanahoria 
1516,Rakikyupay, Denominador 
1517,Rakikyupaykuna, Números divisores 
1518,Rakinakuy, Distribución 
1519,Rakinchi, Submúltiplo 
1520,Rakiri, Parte- sección 
1521,Rakirikuska, Partes 
1522,Rakirikyupay, Numerador 
1523,Raku, Grueso 
1524,Raku chunchulli, Intestino grueso 
1525,Raku kushma, Abrigo 
1526,Raku purutu, Porotón 
1527,Rakuyay, Grosor o espesor 
1528,Rantimpana, Intercambiar. 
1529,Rantimpayni, Reciprocidad. 
1530,Rantina, Comprar 
1531,Rantinpa pankakuna, Documentos comerciales  
1532,Rantinpak- ayni, Reciprocidad 
1533,Rantinpaktak, Conmuntativa 
1534,Rantinpanka, Factura 
1535,Rantinpankaku, Tarjeta de crédito 
1536,Ranziyu, Gringos- ingleses 
1537,Ranziyukunapak mamallakta, País Anglosajona 
1538,Rasu, Sólido agua 
1539,Rasuyay, Solidificación agua 
1540,Ratata, Fuego energía 
1541,Ratata allpa, Pólvora 
1542,Ratata urku, Fuego del volcán 
1543,Rawmay, Podar 
1544,Rawrana, Arder 
1545,Rawranay Kaspikuchuna Kapak, caballero de la ardiente espada 
1546,Rayku, ocasion 
1547,Raymi, Junio- fiesta 
1548,RAYMI killa, Junio 
1549,razu, nevado 
1550,Rikcha, Semejanza 
1551,Rikcha, Semejanza- congruencia 
1552,Rikcha kutirik, Factor común 
1553,Rikchachani, Valor semejante 
1554,RIKCHAK, Foto 
1555,Rikchak, Foto- fotografía- semejante 
1556,RIKCHAKMAYTU, carrete de fotos- rollo de pelicula para fotos 
1557,Rikchay/Suyu, figura 
1558,Rikchayachiy, Genética 
1559,Rikra, Brazo 
1560,Rikra uku, Axila 
1561,Rikramuku, Codo 
1562,Riksi, Conocido 
1563,Riksichik Yuyay, Presentación 
1564,Riksichikyuyay, Presentación. 
1565,Riksina, Conocer 
1566,Riksiri, Identidad persona 
1567,Riksishka, Conocido 
1568,Rikuchi, Manifestación 
1569,Rikuchik ruka, Dedo índice 
1570,Rikuchikkuna, Indicadores 
1571,Rikuchina, Exponer 
1572,Rikuchishuyu, Pictograma o icono 
1573,Rikuchiy, índice 
1574,Rikuna, Mirar 
1575,Rikurayana, Controlar 
1576,Rikurik, Vista- que se ha visto 
1577,Rikuypacha, Paisaje 
1578,Rimak, Hablante 
1579,Rimana, Relatar- hablar 
1580,Rimanakuna, Dialogar 
